Ensembl id,Coding or Non-coding,Score
ENST00000686254.1,Non-coding,0.45500046
ENST00000689697.1,Non-coding,0.45500046
ENST00000570344.1,Coding,0.9550496
ENST00000447725.2,Non-coding,0.35459566
ENST00000572242.1,Coding,0.5188018
ENST00000687493.1,Non-coding,0.32807207
ENST00000453521.1,Non-coding,0.34853038
ENST00000607307.1,Non-coding,0.2557818
ENST00000428932.1,Non-coding,0.36810404
ENST00000430109.1,Coding,0.8112403
ENST00000434150.1,Non-coding,0.10347604
ENST00000454562.1,Coding,0.7561765
ENST00000417917.1,Coding,0.86321706
ENST00000647566.1,Coding,0.9687473
ENST00000366221.3,Coding,0.7246207
ENST00000658591.1,Coding,0.74259835
ENST00000607222.1,Coding,0.7857755
ENST00000607013.1,Non-coding,0.2860935
ENST00000598846.1,Coding,0.94361943
ENST00000689170.1,Coding,0.7197074
ENST00000686550.1,Coding,0.5500381
ENST00000685593.1,Coding,0.7968269
ENST00000412228.1,Coding,0.8116188
ENST00000443930.1,Non-coding,0.18628603
ENST00000659674.1,Non-coding,0.44631052
ENST00000445600.1,Coding,0.7409875
ENST00000449154.1,Coding,0.5498083
ENST00000606533.1,Coding,0.60645264
ENST00000333854.2,Coding,0.51206744
ENST00000444529.1,Coding,0.7292243
ENST00000442483.2,Coding,0.8995322
ENST00000659232.1,Coding,0.96701795
ENST00000661319.1,Coding,0.8885793
ENST00000607720.1,Coding,0.8140889
ENST00000607858.1,Non-coding,0.3171029
ENST00000424657.1,Coding,0.50980806
ENST00000442305.1,Coding,0.94595844
ENST00000644246.1,Coding,0.73629194
ENST00000606645.2,Coding,0.6411378
ENST00000449660.5,Non-coding,0.25042728
ENST00000443892.2,Coding,0.80073816
ENST00000416860.2,Coding,0.8495015
ENST00000448624.2,Non-coding,0.2956808
ENST00000432521.2,Non-coding,0.49050742
ENST00000452793.1,Coding,0.9689584
ENST00000456687.3,Non-coding,0.29811397
ENST00000424215.1,Non-coding,0.2780014
ENST00000686752.1,Non-coding,0.08394719
ENST00000427302.1,Non-coding,0.25288403
ENST00000648684.1,Non-coding,0.12446854
ENST00000638002.1,Non-coding,0.26400018
ENST00000457440.1,Non-coding,0.2766822
ENST00000664694.1,Non-coding,0.26522443
ENST00000429389.1,Coding,0.8335485
ENST00000641229.1,Non-coding,0.08937598
ENST00000642073.1,Non-coding,0.24263652
ENST00000687743.1,Coding,0.70318526
ENST00000606861.1,Coding,0.84904563
ENST00000321399.7,Coding,0.93021816
ENST00000413472.5,Coding,0.63058454
ENST00000453118.5,Non-coding,0.16961847
ENST00000445317.1,Coding,0.7538703
ENST00000667159.1,Non-coding,0.18626249
ENST00000670730.1,Non-coding,0.40126535
ENST00000415573.1,Non-coding,0.12709975
ENST00000321336.1,Coding,0.82968473
ENST00000440516.1,Non-coding,0.4532102
ENST00000624175.1,Coding,0.84451747
ENST00000607061.1,Non-coding,0.35172656
ENST00000669140.1,Coding,0.58108073
ENST00000665088.1,Coding,0.5671403
ENST00000606489.1,Non-coding,0.00979576
ENST00000685493.1,Non-coding,0.27886406
ENST00000688510.1,Coding,0.7701578
ENST00000692374.1,Non-coding,0.40869576
ENST00000687651.1,Coding,0.8037056
ENST00000685303.1,Non-coding,0.27767494
ENST00000687047.1,Non-coding,0.27767494
ENST00000691868.1,Coding,0.93870443
ENST00000435049.1,Coding,0.89644474
ENST00000443034.1,Coding,0.8635073
ENST00000416554.1,Non-coding,0.23994018
ENST00000607459.1,Non-coding,0.24849616
ENST00000667408.1,Coding,0.85263485
ENST00000413332.6,Non-coding,0.3812273
ENST00000442673.2,Non-coding,0.3474376
ENST00000439488.1,Coding,0.8079518
ENST00000686089.1,Coding,0.6087996
ENST00000693306.1,Coding,0.633948
ENST00000456897.6,Non-coding,0.20856349
ENST00000635619.1,Coding,0.71560293
ENST00000412674.1,Non-coding,0.4891409
ENST00000664502.1,Non-coding,0.1246248
ENST00000635247.1,Non-coding,0.22067846
ENST00000635127.1,Non-coding,0.13722534
ENST00000425194.2,Coding,0.88948643
ENST00000671015.1,Non-coding,0.413264
ENST00000642026.2,Non-coding,0.24724321
ENST00000641562.1,Coding,0.76788974
ENST00000641078.1,Non-coding,0.11431489
ENST00000642139.1,Non-coding,0.16563793
ENST00000635002.1,Non-coding,0.22064239
ENST00000635312.2,Non-coding,0.101789705
ENST00000669931.1,Non-coding,0.23051792
ENST00000423197.2,Non-coding,0.14867324
ENST00000665284.1,Non-coding,0.4625463
ENST00000663417.1,Non-coding,0.25955993
ENST00000670434.1,Coding,0.6091666
ENST00000668086.1,Coding,0.7601834
ENST00000633821.2,Coding,0.58883005
ENST00000671656.1,Non-coding,0.1476156
ENST00000659315.1,Non-coding,0.14548203
ENST00000667352.1,Non-coding,0.1464943
ENST00000635642.1,Non-coding,0.09662166
ENST00000641472.1,Non-coding,0.24939185
ENST00000438791.2,Non-coding,0.0908934
ENST00000634256.1,Non-coding,0.032826643
ENST00000667354.1,Non-coding,0.1848662
ENST00000666685.1,Non-coding,0.025945978
ENST00000635556.1,Non-coding,0.062055625
ENST00000659083.1,Non-coding,0.063508146
ENST00000659059.1,Non-coding,0.042243164
ENST00000661628.1,Non-coding,0.040221896
ENST00000420522.1,Non-coding,0.044649508
ENST00000658045.1,Non-coding,0.17436644
ENST00000661891.1,Non-coding,0.14069249
ENST00000641254.1,Non-coding,0.35977256
ENST00000641403.1,Non-coding,0.08417195
ENST00000443270.1,Coding,0.8638876
ENST00000641871.1,Non-coding,0.14554879
ENST00000641426.1,Non-coding,0.06450379
ENST00000641860.1,Non-coding,0.12662357
ENST00000649109.1,Non-coding,0.060744926
ENST00000641583.1,Coding,0.7697702
ENST00000564261.1,Non-coding,0.032004368
ENST00000637702.1,Non-coding,0.46678582
ENST00000413887.1,Non-coding,0.25278118
ENST00000455744.1,Non-coding,0.19519344
ENST00000650463.1,Non-coding,0.37272412
ENST00000441724.1,Non-coding,0.48976302
ENST00000429480.2,Non-coding,0.18713582
ENST00000607670.1,Coding,0.8642748
ENST00000419034.1,Non-coding,0.27815732
ENST00000432429.5,Non-coding,0.04717871
ENST00000414210.5,Non-coding,0.009451281
ENST00000421469.3,Non-coding,0.029467216
ENST00000635029.1,Non-coding,0.12384286
ENST00000635092.2,Non-coding,0.036126915
ENST00000654537.1,Non-coding,0.014393324
ENST00000641757.1,Non-coding,0.102532655
ENST00000442889.1,Non-coding,0.09252992
ENST00000456701.1,Non-coding,0.49991983
ENST00000427317.1,Non-coding,0.42981416
ENST00000618051.1,Non-coding,0.08335076
ENST00000411708.1,Non-coding,0.06917405
ENST00000440032.1,Coding,0.75959605
ENST00000602640.1,Non-coding,0.15432213
ENST00000602973.1,Non-coding,0.46577615
ENST00000602916.1,Non-coding,0.08189076
ENST00000602406.1,Non-coding,0.103293054
ENST00000451646.1,Coding,0.81641954
ENST00000641354.1,Coding,0.7581334
ENST00000642135.1,Non-coding,0.20278071
ENST00000641100.1,Non-coding,0.068558015
ENST00000445300.1,Non-coding,0.42674288
ENST00000684850.1,Non-coding,0.37880638
ENST00000670361.1,Non-coding,0.057142198
ENST00000635451.1,Non-coding,0.063458145
ENST00000452982.1,Non-coding,0.25426108
ENST00000424689.1,Coding,0.75995886
ENST00000449895.5,Non-coding,0.16426554
ENST00000653698.1,Non-coding,0.13331008
ENST00000444276.1,Non-coding,0.13657953
ENST00000433876.2,Coding,0.7859374
ENST00000442636.1,Non-coding,0.116841055
ENST00000635687.1,Coding,0.7277255
ENST00000635405.2,Coding,0.88330305
ENST00000437157.3,Non-coding,0.39539763
ENST00000632503.1,Coding,0.6079112
ENST00000635271.1,Coding,0.7014164
ENST00000412639.4,Coding,0.5980698
ENST00000664915.1,Coding,0.6603858
ENST00000657715.1,Non-coding,0.24577573
ENST00000665148.1,Non-coding,0.34366482
ENST00000634966.2,Non-coding,0.37011155
ENST00000641006.1,Coding,0.9418917
ENST00000641325.1,Non-coding,0.3307659
ENST00000641940.1,Non-coding,0.40213946
ENST00000641507.1,Non-coding,0.22107245
ENST00000685867.1,Coding,0.5512376
ENST00000441033.1,Coding,0.9071003
ENST00000377320.3,Non-coding,0.4793077
ENST00000415330.3,Non-coding,0.21677594
ENST00000639753.1,Non-coding,0.4250299
ENST00000623863.1,Non-coding,0.4047874
ENST00000454104.1,Non-coding,0.26454762
ENST00000648956.1,Non-coding,0.056432456
ENST00000445884.1,Coding,0.5757114
ENST00000413148.1,Non-coding,0.24374248
ENST00000641495.1,Coding,0.61344504
ENST00000641619.1,Non-coding,0.14953688
ENST00000641117.1,Non-coding,0.12539288
ENST00000641011.1,Coding,0.83101124
ENST00000641335.1,Non-coding,0.06451536
ENST00000641456.1,Non-coding,0.08538553
ENST00000641062.1,Non-coding,0.091232255
ENST00000607572.1,Coding,0.985957
ENST00000424487.1,Non-coding,0.4333368
ENST00000663738.1,Non-coding,0.34483042
ENST00000606802.1,Coding,0.8823253
ENST00000452378.1,Non-coding,0.27642646
ENST00000435388.2,Non-coding,0.19654007
ENST00000447600.1,Non-coding,0.23236358
ENST00000445982.5,Coding,0.8868892
ENST00000420480.1,Coding,0.94164944
ENST00000641979.1,Non-coding,0.040554617
ENST00000649975.1,Coding,0.9476837
ENST00000453135.2,Non-coding,0.10180714
ENST00000642131.1,Non-coding,0.27406943
ENST00000376620.3,Non-coding,0.35637408
ENST00000661075.1,Coding,0.8314267
ENST00000650448.1,Coding,0.57019657
ENST00000649268.2,Coding,0.6494662
ENST00000666735.1,Coding,0.7050568
ENST00000658167.1,Coding,0.73767805
ENST00000660618.1,Non-coding,0.15513098
ENST00000660216.1,Non-coding,0.07058667
ENST00000647616.1,Non-coding,0.15612699
ENST00000688646.1,Non-coding,0.2224522
ENST00000689998.1,Non-coding,0.2131238
ENST00000416696.1,Coding,0.5219254
ENST00000693657.1,Non-coding,0.043195274
ENST00000690570.1,Non-coding,0.076900594
ENST00000688638.1,Non-coding,0.06905463
ENST00000693035.1,Non-coding,0.088200666
ENST00000688484.1,Non-coding,0.088200666
ENST00000690111.1,Non-coding,0.088200666
ENST00000606790.1,Non-coding,0.03764924
ENST00000438401.1,Non-coding,0.07269983
ENST00000437631.1,Non-coding,0.08312652
ENST00000432559.2,Non-coding,0.07590369
ENST00000563570.1,Coding,0.86923844
ENST00000441809.2,Non-coding,0.06293201
ENST00000690275.1,Coding,0.8687733
ENST00000657859.1,Non-coding,0.35737178
ENST00000449215.2,Non-coding,0.10188296
ENST00000666654.1,Non-coding,0.12408981
ENST00000661309.1,Non-coding,0.11807703
ENST00000665002.1,Non-coding,0.41722396
ENST00000661613.1,Non-coding,0.26500738
ENST00000657979.1,Non-coding,0.44658884
ENST00000447908.3,Non-coding,0.18886195
ENST00000670776.1,Non-coding,0.4208096
ENST00000666715.1,Non-coding,0.10710707
ENST00000310916.6,Coding,0.7670009
ENST00000404665.4,Coding,0.7664809
ENST00000650369.1,Coding,0.6399418
ENST00000669314.1,Coding,0.5807753
ENST00000660005.1,Non-coding,0.18350141
ENST00000667108.1,Coding,0.6898095
ENST00000424792.5,Non-coding,0.360416
ENST00000625027.2,Non-coding,0.1007205
ENST00000428747.1,Non-coding,0.30275536
ENST00000439788.1,Non-coding,0.31639302
ENST00000427824.1,Non-coding,0.35680985
ENST00000667833.1,Non-coding,0.29028317
ENST00000606186.1,Non-coding,0.01809241
ENST00000428945.1,Coding,0.8422961
ENST00000606262.1,Non-coding,0.005159963
ENST00000623689.3,Non-coding,0.10914008
ENST00000615472.1,Coding,0.66257066
ENST00000453804.1,Coding,0.89814985
ENST00000418525.2,Non-coding,0.4296479
ENST00000317122.2,Coding,0.82434773
ENST00000437156.1,Coding,0.5602183
ENST00000424774.2,Coding,0.570534
ENST00000426353.1,Non-coding,0.41731378
ENST00000457809.1,Non-coding,0.10425571
ENST00000671994.1,Non-coding,0.26672652
ENST00000457898.1,Coding,0.58144337
ENST00000562878.1,Coding,0.6403263
ENST00000648419.1,Non-coding,0.27848294
ENST00000452795.2,Non-coding,0.18436839
ENST00000415386.2,Coding,0.6356453
ENST00000607700.1,Non-coding,0.22820307
ENST00000633763.1,Coding,0.5536978
ENST00000624517.1,Coding,0.8367029
ENST00000633433.1,Coding,0.53831196
ENST00000414340.6,Coding,0.6133827
ENST00000422345.1,Non-coding,0.17792477
ENST00000438002.1,Coding,0.855669
ENST00000668460.1,Coding,0.5077821
ENST00000662795.1,Coding,0.7564186
ENST00000451828.1,Coding,0.6815069
ENST00000660907.1,Coding,0.7828298
ENST00000453554.1,Coding,0.66288704
ENST00000666785.1,Coding,0.5953116
ENST00000457856.1,Non-coding,0.13450313
ENST00000658705.1,Coding,0.58048964
ENST00000654227.2,Non-coding,0.15075517
ENST00000671472.2,Non-coding,0.46732563
ENST00000422124.1,Coding,0.74044335
ENST00000684832.1,Non-coding,0.4417527
ENST00000692736.1,Non-coding,0.3866208
ENST00000660464.2,Non-coding,0.42558742
ENST00000688320.1,Coding,0.5298818
ENST00000693565.1,Coding,0.5298818
ENST00000691427.1,Coding,0.5298818
ENST00000686720.1,Coding,0.5298818
ENST00000690699.1,Coding,0.5298818
ENST00000688676.1,Coding,0.63376325
ENST00000685891.1,Coding,0.6573005
ENST00000416869.2,Non-coding,0.1469988
ENST00000690818.1,Coding,0.616764
ENST00000666544.1,Non-coding,0.45109627
ENST00000685908.1,Coding,0.5033188
ENST00000457075.1,Non-coding,0.16391274
ENST00000692472.1,Coding,0.83910954
ENST00000606899.1,Coding,0.95268536
ENST00000654887.1,Coding,0.8871102
ENST00000446261.1,Coding,0.81345063
ENST00000412427.1,Coding,0.5667198
ENST00000634972.1,Non-coding,0.24156508
ENST00000635428.1,Coding,0.5296581
ENST00000439577.1,Non-coding,0.40741318
ENST00000669051.1,Non-coding,0.07849494
ENST00000670395.1,Non-coding,0.08525683
ENST00000653706.1,Non-coding,0.27091923
ENST00000430540.1,Non-coding,0.024450287
ENST00000641892.1,Non-coding,0.26087338
ENST00000569711.1,Non-coding,0.18194236
ENST00000624418.1,Coding,0.756163
ENST00000419667.2,Coding,0.6058041
ENST00000420211.1,Non-coding,0.044765554
ENST00000606379.1,Coding,0.5391656
ENST00000437898.2,Non-coding,0.40255868
ENST00000690421.1,Non-coding,0.22841632
ENST00000416470.1,Non-coding,0.14442843
ENST00000454736.1,Non-coding,0.44524896
ENST00000660429.1,Non-coding,0.21504235
ENST00000417884.1,Coding,0.7089045
ENST00000652935.1,Non-coding,0.37913802
ENST00000431027.1,Non-coding,0.3480479
ENST00000435552.1,Coding,0.9235381
ENST00000659784.1,Coding,0.6120601
ENST00000641574.1,Non-coding,0.13068645
ENST00000641138.1,Non-coding,0.12116671
ENST00000444923.1,Coding,0.5836644
ENST00000426428.5,Non-coding,0.20421377
ENST00000690859.1,Non-coding,0.33415776
ENST00000670217.2,Non-coding,0.40759632
ENST00000690112.1,Non-coding,0.41543302
ENST00000693117.1,Non-coding,0.31178576
ENST00000686048.1,Non-coding,0.44349712
ENST00000686000.1,Non-coding,0.49363378
ENST00000691289.1,Non-coding,0.28080195
ENST00000691512.1,Coding,0.63512456
ENST00000693701.1,Non-coding,0.44706815
ENST00000691881.1,Coding,0.63794976
ENST00000666314.1,Non-coding,0.1628677
ENST00000635577.2,Non-coding,0.07210101
ENST00000635564.2,Non-coding,0.08871231
ENST00000662632.1,Non-coding,0.06984986
ENST00000660748.1,Non-coding,0.059804145
ENST00000652870.1,Non-coding,0.074125126
ENST00000661413.1,Non-coding,0.071299
ENST00000418743.5,Non-coding,0.15694636
ENST00000423486.1,Non-coding,0.010815939
ENST00000421114.1,Coding,0.58820426
ENST00000641552.1,Non-coding,0.108881876
ENST00000641937.1,Non-coding,0.37514699
ENST00000641097.1,Coding,0.64240074
ENST00000690199.1,Non-coding,0.15298557
ENST00000451424.1,Coding,0.5255216
ENST00000436642.1,Non-coding,0.14442985
ENST00000669329.1,Non-coding,0.26695657
ENST00000416959.1,Non-coding,0.41199496
ENST00000449034.1,Non-coding,0.3475125
ENST00000655030.1,Non-coding,0.16486792
ENST00000444647.1,Non-coding,0.43695974
ENST00000423921.1,Coding,0.7118746
ENST00000457706.1,Non-coding,0.34705737
ENST00000650360.1,Coding,0.96377444
ENST00000648697.1,Coding,0.78443754
ENST00000655353.1,Non-coding,0.39287606
ENST00000455966.2,Non-coding,0.22317359
ENST00000655655.1,Non-coding,0.11063836
ENST00000657670.1,Coding,0.66280377
ENST00000635097.2,Non-coding,0.3455709
ENST00000667783.1,Non-coding,0.32616422
ENST00000635675.2,Non-coding,0.3877462
ENST00000434233.2,Non-coding,0.2575286
ENST00000634934.2,Coding,0.91172314
ENST00000634712.2,Coding,0.81887066
ENST00000634451.2,Coding,0.9352526
ENST00000635450.2,Coding,0.78220844
ENST00000420503.1,Coding,0.8635546
ENST00000416769.2,Non-coding,0.31717354
ENST00000642072.1,Coding,0.8336059
ENST00000404210.5,Coding,0.79579
ENST00000641009.1,Coding,0.8607238
ENST00000452322.2,Non-coding,0.24720486
ENST00000649486.1,Non-coding,0.19829181
ENST00000431803.2,Coding,0.72940904
ENST00000648968.1,Coding,0.6161556
ENST00000624125.1,Coding,0.5992426
ENST00000438551.1,Non-coding,0.046270844
ENST00000419644.1,Non-coding,0.21651986
ENST00000427154.1,Coding,0.6668204
ENST00000691668.1,Non-coding,0.43452296
ENST00000655082.1,Coding,0.70966995
ENST00000647667.1,Coding,0.7283519
ENST00000660265.1,Coding,0.7190756
ENST00000566551.1,Coding,0.91585976
ENST00000666981.1,Coding,0.8537313
ENST00000604481.1,Coding,0.6217836
ENST00000641772.1,Non-coding,0.044014595
ENST00000454117.2,Non-coding,0.29461354
ENST00000689840.1,Non-coding,0.13269731
ENST00000690463.1,Non-coding,0.07938922
ENST00000437367.4,Non-coding,0.13913877
ENST00000671509.2,Non-coding,0.40930748
ENST00000458053.4,Non-coding,0.39568472
ENST00000518600.2,Non-coding,0.46300736
ENST00000335648.3,Coding,0.7507626
ENST00000518821.1,Coding,0.79344153
ENST00000605350.1,Coding,0.6786265
ENST00000451217.1,Non-coding,0.2195936
ENST00000648225.1,Non-coding,0.04732704
ENST00000477916.5,Non-coding,0.26048622
ENST00000374555.7,Non-coding,0.41269782
ENST00000686180.1,Non-coding,0.16736135
ENST00000686679.1,Coding,0.50023913
ENST00000655402.1,Non-coding,0.4868016
ENST00000427796.6,Non-coding,0.3223168
ENST00000686609.1,Non-coding,0.1251979
ENST00000664563.2,Non-coding,0.4086409
ENST00000652963.1,Non-coding,0.31237435
ENST00000692026.1,Coding,0.54681516
ENST00000447961.1,Non-coding,0.1436945
ENST00000687867.1,Coding,0.9411183
ENST00000689374.1,Non-coding,0.49230936
ENST00000411815.3,Coding,0.7829856
ENST00000439239.2,Coding,0.93372554
ENST00000429191.1,Non-coding,0.28311715
ENST00000439059.2,Non-coding,0.116099864
ENST00000437965.1,Non-coding,0.37408614
ENST00000685637.1,Non-coding,0.046186127
ENST00000652048.1,Non-coding,0.16870506
ENST00000652351.1,Non-coding,0.089434564
ENST00000651630.1,Non-coding,0.46792707
ENST00000651433.1,Non-coding,0.25318703
ENST00000652371.1,Coding,0.7106983
ENST00000577528.1,Non-coding,0.10703532
ENST00000641176.1,Non-coding,0.2684849
ENST00000456316.1,Non-coding,0.10681434
ENST00000568143.1,Coding,0.5442951
ENST00000648660.1,Non-coding,0.04660427
ENST00000648363.1,Non-coding,0.12075438
ENST00000424084.1,Coding,0.9113432
ENST00000429666.1,Non-coding,0.27217764
ENST00000455902.2,Non-coding,0.047519818
ENST00000641729.1,Non-coding,0.41496292
ENST00000641059.1,Coding,0.5121437
ENST00000607698.1,Coding,0.68505824
ENST00000412797.1,Coding,0.7746753
ENST00000436991.1,Non-coding,0.19919235
ENST00000442055.5,Coding,0.50228417
ENST00000453649.1,Non-coding,0.25733644
ENST00000536896.2,Coding,0.8061272
ENST00000606617.1,Non-coding,0.01912877
ENST00000690138.1,Coding,0.91747123
ENST00000690263.1,Coding,0.91747123
ENST00000455431.1,Coding,0.9735512
ENST00000640097.1,Coding,0.8678709
ENST00000423060.1,Non-coding,0.14172259
ENST00000656565.1,Non-coding,0.1273097
ENST00000690093.1,Non-coding,0.09714627
ENST00000569378.1,Non-coding,0.28995502
ENST00000448791.1,Non-coding,0.46041417
ENST00000687749.1,Non-coding,0.043912765
ENST00000425205.1,Non-coding,0.24371749
ENST00000492975.1,Non-coding,0.09034159
ENST00000443579.1,Non-coding,0.19162689
ENST00000440492.1,Non-coding,0.09158236
ENST00000681370.1,Non-coding,0.12763382
ENST00000430683.1,Non-coding,0.3341588
ENST00000626608.2,Non-coding,0.21344844
ENST00000628586.2,Coding,0.71134263
ENST00000625232.2,Non-coding,0.40975478
ENST00000628584.2,Coding,0.55722874
ENST00000629895.1,Coding,0.62860376
ENST00000662905.1,Non-coding,0.16703315
ENST00000602607.1,Non-coding,0.3012951
ENST00000602843.1,Non-coding,0.35625562
ENST00000660844.1,Coding,0.51456
ENST00000448015.1,Coding,0.99182665
ENST00000687303.1,Non-coding,0.1962139
ENST00000686637.1,Coding,0.61441463
ENST00000686457.1,Coding,0.7088462
ENST00000604716.1,Coding,0.9340387
ENST00000605846.1,Non-coding,0.13722175
ENST00000413987.1,Coding,0.8173573
ENST00000447507.1,Coding,0.9414044
ENST00000437681.1,Coding,0.9128224
ENST00000624273.1,Non-coding,0.23582104
ENST00000464612.5,Coding,0.91648656
ENST00000481220.6,Coding,0.7012906
ENST00000461448.6,Coding,0.85800135
ENST00000693199.1,Coding,0.9625709
ENST00000531126.7,Coding,0.9142039
ENST00000461832.2,Coding,0.9657369
ENST00000481368.6,Coding,0.8304498
ENST00000692541.1,Coding,0.9685555
ENST00000470977.6,Coding,0.8474391
ENST00000648127.1,Coding,0.59689415
ENST00000475441.6,Coding,0.91538495
ENST00000474814.1,Coding,0.6053659
ENST00000488745.5,Coding,0.5649947
ENST00000483436.5,Coding,0.66311157
ENST00000650259.1,Coding,0.8435128
ENST00000650239.1,Coding,0.9035215
ENST00000648251.1,Coding,0.95817065
ENST00000464115.1,Coding,0.95926684
ENST00000648327.1,Coding,0.70389867
ENST00000420776.1,Coding,0.92490846
ENST00000427804.1,Non-coding,0.15300503
